TRACK_ID,TOTAL_STREAM,DAILY_STREAM
1BxfuPKGuaTgP7aM0Bbdwr,3128245888,966468
1p80LdxRV74UKvL8gnD7ky,2246219162,931757
55n9yjI6qqXh5F2mYvUc2y,2007037729,645891
0V3wPSX9ygBnCm8psDIegu,1921722495,391842
1dGr1c8CrMLDpV6mPbImSI,1903829274,657046
4R2kfaDFhslZEMJqAFNpdd,1820065001,835305
5xTtaWoae3wi06K5WfVUUH,1751078425,654859
3hUxzQpSfdDqwM3ZTFQY0K,1653828192,684188
4lIxdJw6W3Fg4vUIYCB0S5,1555376105,742022
1R0a2iXumgCiFb7HEZ7gUE,1501653989,511122
1P17dC1amhFzptugyAO7Il,1379850708,430749
6NFyWDv5CjfwuzoCkw47Xf,1244754103,402162
59HjlYCeBsxdI0fcm3zglw,1116861580,266728
5enxwA8aAbwZbf5qCHORXi,1112030839,411521
6RRNNciQGZEXnqk8SQ9yv5,1098564819,172401
6YvqWjhGD8mB5QXcbcUKtx,1089674926,480371
1D4PL9B8gOg78jiHg3FvBb,1057473020,320653
2OzhQlSqBEmt7hmkYxfT6m,1052370152,562379
2gVhfX2Gy1T9kDuS9azrF7,1037632076,254665
2o2IVjuqRkR9hJxtPjtAP0,1032224396,477640
4pvb0WLRcMtbPGmtejJJ6y,1003148766,468778
1qrpoAMXodY6895hGKoUpA,996158184,454887
7KokYm8cMIXCsGVmUvKtqf,972683968,235062
5lg33MHs1BoUtJVClw8ZpI,967349262,254772
3RauEVgRgj1IuWdJ9fDs70,966530942,185078
2yLa0QULdQr0qAIvVwN6B5,962319904,319774
27exgla7YBw9DUNNcTIpjy,960883172,314400
2Rk4JlNc2TPmZe2af99d45,956893675,111182
0VE4kBnHJUgtMf0dy6DRmW,860913661,321043
5jQI2r1RdgtuT8S3iG8zFC,858619922,170163
3rWDp9tBPQR9z6U5YyRSK4,815169170,186298
4D7BCuvgdJlYvlX5WlN54t,803092519,330138
4y5bvROuBDPr5fuwXbIBZR,797416760,191063
1gcyHQpBQ1lfXGdhZmWrHP,783986042,220890
1GEBsLDvJGw7kviySRI6GX,772455218,251821
7AEAGTc8cReDqcbPoY9gwo,769925593,194830
1MgV7FIyNxIG7WzMRJV5HC,766752274,393687
4q5YezDOIPcoLr8R81x9qy,746347165,468672
0Jlcvv8IykzHaSmj49uNW8,726920356,260115
1ZY1PqizIl78geGM4xWlEA,715916666,139257
273dCMFseLcVsoSWx59IoE,707002604,213638
3qoftcUZaUOncvIYjFSPdE,682582564,172767
1fzAuUVbzlhZ1lJAx9PtY6,631664264,423190
2x0WlnmfG39ZuDmstl9xfX,599405863,132192
3eX0NZfLtGzoLUxPNvRfqm,578567923,227413
2NmsngXHeC1GQ9wWrzhOMf,576072482,218033
6IG3sQ8s9nfk6TUlVzRhbN,557164715,143268
4svZDCRz4cJoneBpjpx8DJ,553468929,180848
22bPsP2jCgbLUvh82U0Z3M,548781257,208510
0ZNU020wNYvgW84iljPkPP,543778935,184998
1GwMQaZz6Au3QLDbjbMdme,537053606,259422
7kt9e9LFSpN1zQtYEl19o1,536429050,223081
214nt20w5wOxJnY462klLw,522708889,292842
3pHkh7d0lzM2AldUtz2x37,521431973,159051
1wtOxkiel43cVs0Yux5Q4h,504219373,94339
0W0iAC1VGlB82PI6elxFYf,498475858,356168
1xwAWUI6Dj0WGC3KiUPN0O,495133837,97188
6VsvKPJ4xjVNKpI8VVZ3SV,490108481,188635
6oVxXO5oQ4pTpO8RSnkzvv,488318912,592209
1SymEzIT3H8UZfibCs3TYi,484229325,149829
2F3N9tdombb64aW6VtZOdo,482089047,240744
6AtZLIzUINvExIUy4QhdjP,481593348,106853
5l6GqSxplqnZbLg0LTPQeG,472881585,146305
3sW3oSbzsfecv9XoUdGs7h,469746377,240074
3zwMVvkBe2qIKDObWgXw4N,462349420,207747
17yraMKqmZIKAv3iaGcoLX,461645077,91977
5YqltLsjdqFtvqE7Nrysvs,457336337,123231
2CYVETnhM9aytqrazYYwrK,452015161,97523
2P5gfMtCcKP0CkmgqFMyPg,447471303,94194
2Eeur20xVqfUoM3Q7EFPFt,441442354,91628
7FmYn9e7KHMXcxqGSj9LjH,439350381,111869
7qGr3rjRhndRIpFUA5f2HJ,438527969,134635
5kI4eCXXzyuIUXjQra0Cxi,438224769,85601
77sMIMlNaSURUAXq5coCxE,433042219,149941
12M5uqx0ZuwkpLp5rJim1a,425048515,131495
0CD7DzeCsuPJygddqlUVYa,414592622,166183
1LLXZFeAHK9R4xUramtUKw,414544606,117100
6lCvK2AR2uOKkVFCVlAzzm,412340064,136303
5QUIK7ZtziW8kGWo8RqopF,409101368,118721
4OAuvHryIVv4kMDNSLuPt6,408852499,216910
36t6frENUtCYKuZus6aYDO,399585922,157239
43rA71bccXFGD4C8GOpIlN,398392235,125124
3yII7UwgLF6K5zW3xad3MP,390891593,121472
3Vevii7qKqrmW8CcyzBHDl,390046952,157187
6KJqZcs9XDgVck7Lg9QOTC,388884138,99350
3Vpk1hfMAQme8VJ0SNRSkd,383789364,228947
2XXwLdtuAcE0HSCu61ijAb,371433752,221395
0A1JLUlkZkp2EFrosoNQi0,370342676,165465
1dosSsKwYF7hoQA2kuu6wI,364563549,7565588
2VuqMjgoKaOHNM8HpxtXKx,359208289,96993
3CWq0pAKKTWb0K4yiglDc4,355847961,154839
2dgFqt3w9xIQRjhPtwNk3D,355539177,92485
5OndtwLGA9O6XHFcGm2H7r,354101013,60072
3nsfB1vus2qaloUdcBZvDu,353636150,163949
0heeNYlwOGuUSe7TgUD27B,350895839,69383
7HuBDWi18s4aJM8UFnNheH,350855644,137778
7Mts0OfPorF4iwOomvfqn1,350130330,342537
0wavGRldH0AWyu2zvTz8zb,350047928,101693
5og4Qzt92jJzVDkOtSEilb,348135840,118544
3Dby3p1m6IOZn2gIIqECgK,346124958,81725
4txojlesMFQZGWxwz2EeqB,345592761,96458
4WBEj8TeGtRPNJdOmT3WJW,344359535,176578
5hQSXkFgbxjZo9uCwd11so,339121886,225499
6uwfVkaOM1mcMkFmSn35ix,335833020,101670
2YWtcWi3a83pdEg3Gif4Pd,334221715,66163
0108kcWLnn2HlH2kedi1gn,333529246,200044
5kHMfzgLZP95O9NBy0ku4v,328217962,72107
6sQckd3Z8NPxVVKUnavY1F,325466992,89169
7I7JbDv63ZJJsSi24DyJrz,324021981,132913
3i9UVldZOE0aD0JnyfAZZ0,323743196,50013
6RSG1dKPV5gEvILwJb4QtS,318328722,240344
0qAIiGFKLdV1xpNlEhjpq8,316995325,63400
2v1ivOOsgn64g5OywuH55L,310354124,125133
3NMrVbIVWT3fPXBj0rNDKG,307718156,109825
3ZVFcD8Wlw9T9klGqmJf9F,303919590,112543
4NAmRvqSITAAzKWnC8yRq3,303263302,55098
5uICWmZTLkpEVbK22PBP6e,297291882,104553
4V9NuhKQcUFt4cgbynHV79,285000938,56550
01K4zKU104LyJ8gMb7227B,284044721,79996
6Wlq9rqkxrqj5Kls4Kw14H,282210905,134011
6qnM0XXPZOINWA778uNqQ9,282036702,92084
79uDOz0zuuWS7HWxzMmTa2,280470715,105287
60hGQrn24APqEFSLObLeDc,275993491,82321
43Ykum9T72UOPhBN31grpN,273741611,80649
07NxDD1iKCHbAldceD7QLP,273075534,53175
4zmKGsrXjLmljb5fTaBTot,272036586,116913
4CkgMiMqZ5JzW9iYXSTMTL,271014597,81151
3xYJScVfxByb61dYHTwiby,267722211,97692
00vJzaoxM3Eja1doBUhX0P,267051010,26721
3CCRVu4F91Qp2mnGjmWBrf,266754273,105544
2QDyYdZyhlP2fp79KZX8Bi,262898632,58647
3z6XUommYDWPHeFhmhhT6j,262016329,124455
7G0gBu6nLdhFDPRLc0HdDG,261683882,81399
7MbT4I8qGntX4fMdqMQgke,258912377,63895
5rcHBt2aNcGFWW0jaAUe1L,258146565,46241
7F5oktn5YOsR9eR5YsFtqb,256630513,69588
7eGeUVeCEvEQrivmjl9Qn3,255402590,51201
0hhzNPE68LWLfgZwdpxVdR,254919207,241193
1dhMTsEZz6ZEquGvmzVoHn,253144588,115005
0z9UVN8VBHJ9HdfYsOuuNf,251782897,33624
5VYWxXUpxuxEmCqMLDqICo,247805884,72036
6FmJKLpyCt42nP2IOVEVc2,245880980,33949
1nuk1yTZO3zR8XB8Ofk9q3,244478554,58347
52OkpDsU6MmPx1AwGOb6Ap,243300844,85253
67osB3wmJVTFzKhWqPb1Hm,240590392,3881934
4mKye6Z1kXuKolzMkJoKFA,239980260,146405
0dAb8TY433dl3ZfXYCLE19,239443959,39930
18WFFUIsewmA8g31KAeo3e,238814776,149448
71CBDRKmF2VeRKYMG1DFBh,238190787,78501
5PxFv9yJEg9dxvbZggykro,235593384,62632
6MWoRt97mnSTXZhu3ggi9C,233366797,60023
55Vf4bimc1Rtfg0PAQRAo2,232469463,71764
0PWgAyoxsjwGRuFSO0fyya,232380254,87677
5tWxKWq1DSP1s9WQ5PWuqu,231089854,57135
3fO566xJgwxIa3qGCGBvIC,230497784,105490
1kcwpPDQnqEqmezzXdJTCP,228263201,139342
1OcSfkeCg9hRC2sFKB4IMJ,226491300,218295
08fa9LFcFBTcilB3iq2e2A,225441625,52422
2awNGIJHodfLZSClB3PYhz,222736066,64954
6N1K5OVVCopBjGViHs2IvP,219286184,78350
66tOfHVH3aUrscg8vExRV4,219251126,70778
6pYNq0ZwpPVazKzsqpf0G8,218854669,55026
6xsEAm6w9oMQYYg3jkEkMT,217637458,56083
7qEUFOVcxRI19tbT68JcYK,212678356,100717
06WgOCf0LV2h4keYXDRnuh,211114658,27549
50yNTF0Od55qnHLxYsA5Pw,210853077,87541
5M787RexsAiVYjQusM98CV,207085371,72951
4hqJ4bSlYJOXb6Z4SRmzxs,205501295,76335
5h2sBwpUSAndjObfU3ti2r,203534062,35188
0eFQWVz0qIxDOvhLpZ40P7,200925912,55341
5Bedn0svl0ZD7RGmJkmKKw,197910080,98302
62E2nR0od0M5HYxuYLaDz7,194388600,86778
1SztNGCwEHJEVFx90E5g7D,192571336,44413
4OmFmE0fzcMG6g0Y8p4eSD,188551994,60040
4dYUOfmWna6DFccnz732n8,188484613,32890
1A2vZKJZovt4828jwLgiB3,180400579,2386404
3MytWN8L7shNYzGl4tAKRp,176772493,55062
4WUepByoeqcedHoYhSNHRt,174771229,63396
0NwGC0v03ysCYINtg6ns58,174334298,39095
2h3MDMf8sd9s4XIzpTBIjX,173814555,53130
4AYtqFyFbX0Xkc2wtcygTr,172714661,36855
73W5aXorr5vxrySFcoZqIN,171939559,84888
10GRRCR5fctuOF4GFmATJI,167890020,49828
1MaqkdFNIKPdpQGDzme5ss,166228958,49255
3wmN11qXGL0HyPojvEE1D9,164203104,22756
0lKUBmEyQfzsQHozyeXzES,164163330,77985
1UlhrRvYzbHEyugEDspXUB,163751374,53057
2fF3QzbGCrtrDXIdWcg1mv,163709336,18344
4IQkfUsrwXol38VV3U7t7T,162814757,35977
1lD0oPIfSYid1LhPvgrz10,162637347,2067039
6RvRzl1YJTDnUvdOtV21IK,162503978,20746
7DQmwd7zye9xvzMQJnD8S8,160571726,33547
3hlGuz3loYoLfI3bpwieWq,159312810,71816
0v4z1tuZvn6LGknom9Qx7d,159110453,47664
1XLc4irbX7oQSneh6gWv3O,158217399,21904
1SmiQ65iSAbPto6gPFlBYm,157524628,25773
2KrOAg6FftbjgSKdd2a4rS,155783443,22803
6lzc0Al0zfZOIFsFvBS1ki,155571873,38406
0y6kdSRCVQhSsHSpWvTUm7,154527712,54989
3zMDGj4D8ogaYgAIZPeU7S,153607510,81814
7C0w28EsX0Um2FrZs9gso2,152364892,33703
3K2es3gElMRJ3qvmPW442g,152260746,18066
6M9ppdfFjR1AbpUl3Y8DcV,151825437,40040
0T2kNwYw4Z7rhziNRNsjfO,151554116,33384
6a8aUhYbaQBUI8PcJ5ZmQ6,151094117,38347
05GsNucq8Bngd9fnd4fRa0,150077527,75967
4pNApnaUWAL2J4KO2eqokq,149405348,52114
2k0ZEeAqzvYMcx9Qt5aClQ,149110208,56389
1rmEsOezwf2lmIZTMAO5Ag,148953883,74808
2913xXOVAIDAqxzV2g4VcU,146619668,74545
0TyGh27YQ5LknmiDhCzJiT,144983680,83692
3jBMHD19RZdAqG9iFQh7xc,143645713,16392
1zU8j1x3yi9xalMF96pzKp,143612789,33808
5YL553x8sHderRBDlm3NM3,142713053,70592
1msEuwSBneBKpVCZQcFTsU,142400084,30091
7oZONwFiFIErZcXAtTu7FY,142232395,56816
1kdWw77ZpYOkhxeuhzU1j6,141947957,49399
43sE2O3skbGBpT2tO6fzv9,141595048,39137
2G679wnKfyhUOeNx910OXg,140977339,23372
5xXqyjLicvEpch72qEryFT,139596459,34947
3S7HNKPakdwNEBFIVTL6dZ,139381227,36779
6dTA6y0C2ReQklntzZl8l3,139028433,41265
3Qeh4z08FfDBRfQMfDv83f,138276465,1782700
5vyxXfD5gLlyPxGZMEjtmd,138030059,44277
243KxZULAjWO3KREpVHgOH,137826963,1836090
2slqvGLwzZZYsT4K4Y1GBC,137421703,13589
4EUQXLipplO2v9mVaqQtjc,135557101,24094
0129EujhGkwtwTFADGem5P,135127557,1606200
4EF6IyONolQy0bIQXm2EmX,134495185,47502
30Y4CV7A6YqtQtTTo7Ue4j,133811062,30561
6ZSxG2QvGmwXbTfn7iDq7a,131205801,1563054
6qAcApH8obo8eqatCKUHd9,130922512,35569
3FzJDGVjRGNc7KrkabU5N0,129982019,1516788
4CHpVfAhuxNJ3ibExe6kxO,129777591,16441
3FxJDucHWdw6caWTKO5b23,129771013,44237
4s8BIKx4Zh6ryAEz8RTlaU,129291388,37682
73qMN9bXy7MSPwwGfH3wQr,128599559,45068
0H2UD0LfSCiRr59YMGlCuS,128495871,18565
2nqio0SfWg6gh2eCtfuMa5,128209288,27582
7ogK4lJDVDMU6A6vYR5rvD,127007555,38746
59KOoHFcw5XfICnO57holu,125649967,61679
6iC3L3YmAkGucvJbXKDanA,124393699,1395816
4RMfSYDFkcz0bKoK8fHDgR,121994450,21502
