TRACK_ID,TOTAL_STREAM,DAILY_STREAM
1BxfuPKGuaTgP7aM0Bbdwr,3228561592,1246217
1p80LdxRV74UKvL8gnD7ky,2334824947,1127401
55n9yjI6qqXh5F2mYvUc2y,2066733374,753190
1dGr1c8CrMLDpV6mPbImSI,1966901830,707097
0V3wPSX9ygBnCm8psDIegu,1962277123,470537
4R2kfaDFhslZEMJqAFNpdd,1897093919,846782
5xTtaWoae3wi06K5WfVUUH,1809624635,699444
3hUxzQpSfdDqwM3ZTFQY0K,1717722162,744974
4lIxdJw6W3Fg4vUIYCB0S5,1642249594,1371521
1R0a2iXumgCiFb7HEZ7gUE,1549816504,555738
1P17dC1amhFzptugyAO7Il,1405709454,309927
6NFyWDv5CjfwuzoCkw47Xf,1283069401,451442
5enxwA8aAbwZbf5qCHORXi,1155628467,522075
59HjlYCeBsxdI0fcm3zglw,1144664852,362451
6YvqWjhGD8mB5QXcbcUKtx,1136476805,555977
6RRNNciQGZEXnqk8SQ9yv5,1115688340,203718
2OzhQlSqBEmt7hmkYxfT6m,1109162983,691724
1vrd6UOGamcKNGnSHJQlSt,1088395650,376335
2o2IVjuqRkR9hJxtPjtAP0,1072184530,476233
2gVhfX2Gy1T9kDuS9azrF7,1062293002,260506
4pvb0WLRcMtbPGmtejJJ6y,1046827917,464231
1qrpoAMXodY6895hGKoUpA,1042189891,567032
7KokYm8cMIXCsGVmUvKtqf,995841069,263690
27exgla7YBw9DUNNcTIpjy,992731308,391760
5lg33MHs1BoUtJVClw8ZpI,992291044,325691
2yLa0QULdQr0qAIvVwN6B5,991676546,360921
3RauEVgRgj1IuWdJ9fDs70,986702497,249643
2Rk4JlNc2TPmZe2af99d45,968186034,136751
1dosSsKwYF7hoQA2kuu6wI,958762894,5609404
0VE4kBnHJUgtMf0dy6DRmW,889017773,338218
5jQI2r1RdgtuT8S3iG8zFC,874177228,184693
4D7BCuvgdJlYvlX5WlN54t,834779380,330647
3rWDp9tBPQR9z6U5YyRSK4,834553282,229295
4y5bvROuBDPr5fuwXbIBZR,816663716,239116
1gcyHQpBQ1lfXGdhZmWrHP,808311226,251702
1MgV7FIyNxIG7WzMRJV5HC,806461515,426713
