TRACK_ID,TOTAL_STREAM,DAILY_STREAM
1BxfuPKGuaTgP7aM0Bbdwr,3240923418,1310502
1p80LdxRV74UKvL8gnD7ky,2345731711,1101703
55n9yjI6qqXh5F2mYvUc2y,2073558573,682685
1dGr1c8CrMLDpV6mPbImSI,1974132428,715772
0V3wPSX9ygBnCm8psDIegu,1966900541,464259
4R2kfaDFhslZEMJqAFNpdd,1906056360,887275
5xTtaWoae3wi06K5WfVUUH,1816393762,664894
3hUxzQpSfdDqwM3ZTFQY0K,1724596675,638761
4lIxdJw6W3Fg4vUIYCB0S5,1655435281,1289246
1R0a2iXumgCiFb7HEZ7gUE,1555265075,545837
1P17dC1amhFzptugyAO7Il,1408554744,279012
6NFyWDv5CjfwuzoCkw47Xf,1287543926,449888
5enxwA8aAbwZbf5qCHORXi,1160484160,460863
59HjlYCeBsxdI0fcm3zglw,1148236295,349049
6YvqWjhGD8mB5QXcbcUKtx,1141789759,505205
6RRNNciQGZEXnqk8SQ9yv5,1117733697,204237
2OzhQlSqBEmt7hmkYxfT6m,1115903533,644208
1vrd6UOGamcKNGnSHJQlSt,1092093337,383527
2o2IVjuqRkR9hJxtPjtAP0,1076829652,464177
2gVhfX2Gy1T9kDuS9azrF7,1064873371,249674
4pvb0WLRcMtbPGmtejJJ6y,1051508084,445872
1qrpoAMXodY6895hGKoUpA,1047929666,537035
1dosSsKwYF7hoQA2kuu6wI,1011028141,4993003
7KokYm8cMIXCsGVmUvKtqf,998431413,267949
27exgla7YBw9DUNNcTIpjy,996413361,355430
5lg33MHs1BoUtJVClw8ZpI,995451799,291170
2yLa0QULdQr0qAIvVwN6B5,994937898,312805
3RauEVgRgj1IuWdJ9fDs70,989101863,244598
2Rk4JlNc2TPmZe2af99d45,969499612,139892
0VE4kBnHJUgtMf0dy6DRmW,892098130,311558
5jQI2r1RdgtuT8S3iG8zFC,875820370,158352
4D7BCuvgdJlYvlX5WlN54t,838097153,326555
3rWDp9tBPQR9z6U5YyRSK4,836703552,210369
4y5bvROuBDPr5fuwXbIBZR,818993567,225756
1MgV7FIyNxIG7WzMRJV5HC,810639418,420832
1gcyHQpBQ1lfXGdhZmWrHP,810576215,222060
3GCL1PydwsLodcpv0Ll1ch,800085947,295986
4q5YezDOIPcoLr8R81x9qy,789883632,397256
7AEAGTc8cReDqcbPoY9gwo,788225155,171554
0Jlcvv8IykzHaSmj49uNW8,756301626,271008
1ZY1PqizIl78geGM4xWlEA,730915865,137141
273dCMFseLcVsoSWx59IoE,727996718,214489
3qoftcUZaUOncvIYjFSPdE,700972458,162766
1fzAuUVbzlhZ1lJAx9PtY6,676173274,459135
2x0WlnmfG39ZuDmstl9xfX,614398089,151522
2NmsngXHeC1GQ9wWrzhOMf,600196389,216978
3eX0NZfLtGzoLUxPNvRfqm,599319650,179554
6IG3sQ8s9nfk6TUlVzRhbN,572820185,201894
22bPsP2jCgbLUvh82U0Z3M,570544570,219862
4svZDCRz4cJoneBpjpx8DJ,568785161,171293
1GwMQaZz6Au3QLDbjbMdme,565076721,257593
0ZNU020wNYvgW84iljPkPP,564796534,196368
7kt9e9LFSpN1zQtYEl19o1,560259990,232794
214nt20w5wOxJnY462klLw,546850958,217043
6oVxXO5oQ4pTpO8RSnkzvv,540757633,469580
3pHkh7d0lzM2AldUtz2x37,540118543,198483
0W0iAC1VGlB82PI6elxFYf,538692488,459103
67osB3wmJVTFzKhWqPb1Hm,533690210,3396359
1wtOxkiel43cVs0Yux5Q4h,514938333,98321
6VsvKPJ4xjVNKpI8VVZ3SV,511028942,198179
2F3N9tdombb64aW6VtZOdo,508117429,251563
1xwAWUI6Dj0WGC3KiUPN0O,505613511,103814
1SymEzIT3H8UZfibCs3TYi,498718447,139957
3sW3oSbzsfecv9XoUdGs7h,496711793,291006
6AtZLIzUINvExIUy4QhdjP,493149563,104920
3DrjZArsPsoqbLzUZZV1Id,491213858,158639
3zwMVvkBe2qIKDObWgXw4N,485559966,211775
17yraMKqmZIKAv3iaGcoLX,471973450,101184
5YqltLsjdqFtvqE7Nrysvs,470646286,133512
2CYVETnhM9aytqrazYYwrK,463335058,115936
2P5gfMtCcKP0CkmgqFMyPg,456930268,94585
7FmYn9e7KHMXcxqGSj9LjH,451849136,111114
2Eeur20xVqfUoM3Q7EFPFt,451706760,98068
7qGr3rjRhndRIpFUA5f2HJ,451513823,118892
77sMIMlNaSURUAXq5coCxE,449442103,165214
5kI4eCXXzyuIUXjQra0Cxi,448025605,91183
12M5uqx0ZuwkpLp5rJim1a,440255895,172440
0CD7DzeCsuPJygddqlUVYa,434055252,175034
4OAuvHryIVv4kMDNSLuPt6,429101778,197627
6lCvK2AR2uOKkVFCVlAzzm,427346828,133739
1LLXZFeAHK9R4xUramtUKw,426588744,123212
5QUIK7ZtziW8kGWo8RqopF,422914838,126756
36t6frENUtCYKuZus6aYDO,419541885,198198
3Vevii7qKqrmW8CcyzBHDl,409498632,182073
43rA71bccXFGD4C8GOpIlN,408982873,101698
3Vpk1hfMAQme8VJ0SNRSkd,408562991,235888
3yII7UwgLF6K5zW3xad3MP,402611904,106955
6KJqZcs9XDgVck7Lg9QOTC,399553949,97245
2XXwLdtuAcE0HSCu61ijAb,392437826,196414
0A1JLUlkZkp2EFrosoNQi0,387840520,182322
7Mts0OfPorF4iwOomvfqn1,382511458,311992
3CWq0pAKKTWb0K4yiglDc4,373638176,172025
3nsfB1vus2qaloUdcBZvDu,371442646,173335
2VuqMjgoKaOHNM8HpxtXKx,370610823,115299
2dgFqt3w9xIQRjhPtwNk3D,365629843,91465
5og4Qzt92jJzVDkOtSEilb,363673009,153062
7HuBDWi18s4aJM8UFnNheH,363047842,119576
0wavGRldH0AWyu2zvTz8zb,362100703,106747
4WBEj8TeGtRPNJdOmT3WJW,361226505,151895
5OndtwLGA9O6XHFcGm2H7r,361170654,78753
5hQSXkFgbxjZo9uCwd11so,360921155,209652
0heeNYlwOGuUSe7TgUD27B,358326442,66166
4txojlesMFQZGWxwz2EeqB,356514645,98621
0108kcWLnn2HlH2kedi1gn,356278250,142974
3Dby3p1m6IOZn2gIIqECgK,354785165,73255
6RSG1dKPV5gEvILwJb4QtS,346981821,270667
6uwfVkaOM1mcMkFmSn35ix,343964352,68871
2YWtcWi3a83pdEg3Gif4Pd,341771855,74051
6sQckd3Z8NPxVVKUnavY1F,336758319,65149
5kHMfzgLZP95O9NBy0ku4v,336581041,81609
7I7JbDv63ZJJsSi24DyJrz,334753637,100922
3i9UVldZOE0aD0JnyfAZZ0,328793122,46262
2v1ivOOsgn64g5OywuH55L,327606173,167549
0qAIiGFKLdV1xpNlEhjpq8,324280506,76459
3NMrVbIVWT3fPXBj0rNDKG,321481920,141900
3ZVFcD8Wlw9T9klGqmJf9F,318410554,158286
5uICWmZTLkpEVbK22PBP6e,310487169,120710
4NAmRvqSITAAzKWnC8yRq3,310199877,61581
6Wlq9rqkxrqj5Kls4Kw14H,295166629,114729
79uDOz0zuuWS7HWxzMmTa2,293588898,112760
01K4zKU104LyJ8gMb7227B,293469320,87599
1A2vZKJZovt4828jwLgiB3,293258921,641484
6qnM0XXPZOINWA778uNqQ9,291777051,95838
4V9NuhKQcUFt4cgbynHV79,291259291,60486
4mKye6Z1kXuKolzMkJoKFA,287663962,8549
4zmKGsrXjLmljb5fTaBTot,285266940,127938
60hGQrn24APqEFSLObLeDc,282670791,66733
43Ykum9T72UOPhBN31grpN,282301094,71239
