TRACK_ID,TOTAL_STREAM,DAILY_STREAM
1BxfuPKGuaTgP7aM0Bbdwr,3232211529,1199813
1p80LdxRV74UKvL8gnD7ky,2338042697,1030084
55n9yjI6qqXh5F2mYvUc2y,2068532189,622220
1dGr1c8CrMLDpV6mPbImSI,1968990631,682095
0V3wPSX9ygBnCm8psDIegu,1963609816,440315
4R2kfaDFhslZEMJqAFNpdd,1899662589,892835
5xTtaWoae3wi06K5WfVUUH,1811626093,661910
3hUxzQpSfdDqwM3ZTFQY0K,1719756416,658926
4lIxdJw6W3Fg4vUIYCB0S5,1646237457,1320340
1R0a2iXumgCiFb7HEZ7gUE,1551365002,498632
1P17dC1amhFzptugyAO7Il,1406514963,260290
6NFyWDv5CjfwuzoCkw47Xf,1284340976,437564
5enxwA8aAbwZbf5qCHORXi,1157081826,495924
59HjlYCeBsxdI0fcm3zglw,1145659166,356408
6YvqWjhGD8mB5QXcbcUKtx,1138037525,492655
6RRNNciQGZEXnqk8SQ9yv5,1116238819,184513
2OzhQlSqBEmt7hmkYxfT6m,1111050624,655795
1vrd6UOGamcKNGnSHJQlSt,1089420505,332294
2o2IVjuqRkR9hJxtPjtAP0,1073476685,432816
2gVhfX2Gy1T9kDuS9azrF7,1063047233,266075
4pvb0WLRcMtbPGmtejJJ6y,1048206345,485843
1qrpoAMXodY6895hGKoUpA,1043836079,530486
7KokYm8cMIXCsGVmUvKtqf,996569894,247784
27exgla7YBw9DUNNcTIpjy,993787385,344393
5lg33MHs1BoUtJVClw8ZpI,993256823,315939
2yLa0QULdQr0qAIvVwN6B5,992568529,312589
3RauEVgRgj1IuWdJ9fDs70,987362971,222239
1dosSsKwYF7hoQA2kuu6wI,974116792,5099830
2Rk4JlNc2TPmZe2af99d45,968561062,124123
0VE4kBnHJUgtMf0dy6DRmW,889857532,285371
5jQI2r1RdgtuT8S3iG8zFC,874654241,163610
4D7BCuvgdJlYvlX5WlN54t,835720309,316250
3rWDp9tBPQR9z6U5YyRSK4,835186875,215826
4y5bvROuBDPr5fuwXbIBZR,817339961,228982
1gcyHQpBQ1lfXGdhZmWrHP,808963925,228620
1MgV7FIyNxIG7WzMRJV5HC,807691959,448545
3GCL1PydwsLodcpv0Ll1ch,797976909,286271
4q5YezDOIPcoLr8R81x9qy,787025314,362129
7AEAGTc8cReDqcbPoY9gwo,786937122,174512
0Jlcvv8IykzHaSmj49uNW8,754378485,287282
1ZY1PqizIl78geGM4xWlEA,729889133,141938
273dCMFseLcVsoSWx59IoE,726447103,200390
3qoftcUZaUOncvIYjFSPdE,699777636,163055
1fzAuUVbzlhZ1lJAx9PtY6,672992123,457815
2x0WlnmfG39ZuDmstl9xfX,613285568,146362
2NmsngXHeC1GQ9wWrzhOMf,598605878,226740
3eX0NZfLtGzoLUxPNvRfqm,597963556,187583
6IG3sQ8s9nfk6TUlVzRhbN,571574789,175459
22bPsP2jCgbLUvh82U0Z3M,568961510,223019
4svZDCRz4cJoneBpjpx8DJ,567571488,162214
0ZNU020wNYvgW84iljPkPP,563418269,195033
1GwMQaZz6Au3QLDbjbMdme,563140150,261727
7kt9e9LFSpN1zQtYEl19o1,558564282,250177
214nt20w5wOxJnY462klLw,545344386,208658
3pHkh7d0lzM2AldUtz2x37,538734167,173567
6oVxXO5oQ4pTpO8RSnkzvv,537246190,482694
0W0iAC1VGlB82PI6elxFYf,535530180,440749
1wtOxkiel43cVs0Yux5Q4h,514221255,104549
6VsvKPJ4xjVNKpI8VVZ3SV,509597863,204890
67osB3wmJVTFzKhWqPb1Hm,508085040,2062879
2F3N9tdombb64aW6VtZOdo,506306878,251735
1xwAWUI6Dj0WGC3KiUPN0O,504874837,102951
1SymEzIT3H8UZfibCs3TYi,497636159,134231
3sW3oSbzsfecv9XoUdGs7h,494512306,320383
6AtZLIzUINvExIUy4QhdjP,492396495,102715
3DrjZArsPsoqbLzUZZV1Id,490045791,165134
3zwMVvkBe2qIKDObWgXw4N,484072227,225311
17yraMKqmZIKAv3iaGcoLX,471250751,103353
5YqltLsjdqFtvqE7Nrysvs,469667798,127097
2CYVETnhM9aytqrazYYwrK,462495955,113989
2P5gfMtCcKP0CkmgqFMyPg,456250720,91193
2Eeur20xVqfUoM3Q7EFPFt,451031135,97368
7FmYn9e7KHMXcxqGSj9LjH,451026456,120797
7qGr3rjRhndRIpFUA5f2HJ,450638069,119128
77sMIMlNaSURUAXq5coCxE,448256645,152854
5kI4eCXXzyuIUXjQra0Cxi,447366020,98363
12M5uqx0ZuwkpLp5rJim1a,439053287,150902
0CD7DzeCsuPJygddqlUVYa,432757133,192527
4OAuvHryIVv4kMDNSLuPt6,427706666,174277
6lCvK2AR2uOKkVFCVlAzzm,426416760,134226
1LLXZFeAHK9R4xUramtUKw,425721885,116774
5QUIK7ZtziW8kGWo8RqopF,421982074,135795
36t6frENUtCYKuZus6aYDO,418109741,203336
43rA71bccXFGD4C8GOpIlN,408225989,101978
3Vevii7qKqrmW8CcyzBHDl,408216998,191388
3Vpk1hfMAQme8VJ0SNRSkd,407004583,208356
3yII7UwgLF6K5zW3xad3MP,401820535,108017
6KJqZcs9XDgVck7Lg9QOTC,398862720,105806
2XXwLdtuAcE0HSCu61ijAb,391012988,198275
0A1JLUlkZkp2EFrosoNQi0,386533855,182942
7Mts0OfPorF4iwOomvfqn1,380288888,284130
3CWq0pAKKTWb0K4yiglDc4,372395647,181948
3nsfB1vus2qaloUdcBZvDu,370167635,175801
2VuqMjgoKaOHNM8HpxtXKx,369811068,117265
2dgFqt3w9xIQRjhPtwNk3D,364940122,100141
5og4Qzt92jJzVDkOtSEilb,362555366,160208
7HuBDWi18s4aJM8UFnNheH,362198768,111054
0wavGRldH0AWyu2zvTz8zb,361321013,109772
5OndtwLGA9O6XHFcGm2H7r,360560297,87119
4WBEj8TeGtRPNJdOmT3WJW,360082215,163676
5hQSXkFgbxjZo9uCwd11so,359376062,222941
0heeNYlwOGuUSe7TgUD27B,357835952,71713
4txojlesMFQZGWxwz2EeqB,355803503,101761
0108kcWLnn2HlH2kedi1gn,355203535,148337
3Dby3p1m6IOZn2gIIqECgK,354267684,80115
6RSG1dKPV5gEvILwJb4QtS,344986547,290922
6uwfVkaOM1mcMkFmSn35ix,343469608,73646
2YWtcWi3a83pdEg3Gif4Pd,341240368,77262
6sQckd3Z8NPxVVKUnavY1F,336288648,70135
5kHMfzgLZP95O9NBy0ku4v,335984350,91322
7I7JbDv63ZJJsSi24DyJrz,334003558,93893
3i9UVldZOE0aD0JnyfAZZ0,328467520,47038
2v1ivOOsgn64g5OywuH55L,326408037,173894
0qAIiGFKLdV1xpNlEhjpq8,323742526,71293
3NMrVbIVWT3fPXBj0rNDKG,320467760,148199
3ZVFcD8Wlw9T9klGqmJf9F,317298705,156930
4NAmRvqSITAAzKWnC8yRq3,309733168,69090
5uICWmZTLkpEVbK22PBP6e,309653051,131053
6Wlq9rqkxrqj5Kls4Kw14H,294352776,117233
01K4zKU104LyJ8gMb7227B,292836100,90060
