TRACK_ID,TOTAL_STREAM,DAILY_STREAM
1BxfuPKGuaTgP7aM0Bbdwr,3091530868,1356059
1p80LdxRV74UKvL8gnD7ky,2214196932,1091355
55n9yjI6qqXh5F2mYvUc2y,1982828258,693127
0V3wPSX9ygBnCm8psDIegu,1906838871,542042
1dGr1c8CrMLDpV6mPbImSI,1877961651,938766
4R2kfaDFhslZEMJqAFNpdd,1784088331,1259233
5xTtaWoae3wi06K5WfVUUH,1729437037,753879
3hUxzQpSfdDqwM3ZTFQY0K,1622036426,1146294
4lIxdJw6W3Fg4vUIYCB0S5,1527924649,997083
1R0a2iXumgCiFb7HEZ7gUE,1482222492,677275
1P17dC1amhFzptugyAO7Il,1368334938,369636
6NFyWDv5CjfwuzoCkw47Xf,1229429657,645220
59HjlYCeBsxdI0fcm3zglw,1107060676,353743
5enxwA8aAbwZbf5qCHORXi,1096063051,597118
6RRNNciQGZEXnqk8SQ9yv5,1091932998,268699
6YvqWjhGD8mB5QXcbcUKtx,1072267748,607685
1vrd6UOGamcKNGnSHJQlSt,1046291590,383612
2OzhQlSqBEmt7hmkYxfT6m,1030592973,809819
2gVhfX2Gy1T9kDuS9azrF7,1027736368,379361
2o2IVjuqRkR9hJxtPjtAP0,1016579656,493353
4pvb0WLRcMtbPGmtejJJ6y,984317242,691963
1qrpoAMXodY6895hGKoUpA,978072227,693559
7KokYm8cMIXCsGVmUvKtqf,963187178,330988
3RauEVgRgj1IuWdJ9fDs70,959287512,274592
5lg33MHs1BoUtJVClw8ZpI,958580365,313436
2Rk4JlNc2TPmZe2af99d45,952535361,172477
2yLa0QULdQr0qAIvVwN6B5,950364904,446852
1K39ty6o1sHwwlZwO6a7wK,947006420,440772
5jQI2r1RdgtuT8S3iG8zFC,851716221,278811
0VE4kBnHJUgtMf0dy6DRmW,846808921,465201
3rWDp9tBPQR9z6U5YyRSK4,807482344,314792
4y5bvROuBDPr5fuwXbIBZR,790016152,281389
4D7BCuvgdJlYvlX5WlN54t,788100238,533883
1gcyHQpBQ1lfXGdhZmWrHP,775153458,361174
3GCL1PydwsLodcpv0Ll1ch,763519447,287828
7AEAGTc8cReDqcbPoY9gwo,763444644,245577
1MgV7FIyNxIG7WzMRJV5HC,749789991,607130
4q5YezDOIPcoLr8R81x9qy,726568871,556979
0Jlcvv8IykzHaSmj49uNW8,714085687,436465
1ZY1PqizIl78geGM4xWlEA,710308007,223784
273dCMFseLcVsoSWx59IoE,699411200,273138
3qoftcUZaUOncvIYjFSPdE,675034267,247942
1fzAuUVbzlhZ1lJAx9PtY6,615319937,594741
2x0WlnmfG39ZuDmstl9xfX,594185808,229452
3eX0NZfLtGzoLUxPNvRfqm,567459153,265722
2NmsngXHeC1GQ9wWrzhOMf,567246180,322873
1Iq8oo9XkmmvCQiGOfORiz,551193722,219066
4svZDCRz4cJoneBpjpx8DJ,548002500,214070
22bPsP2jCgbLUvh82U0Z3M,540162382,359184
0ZNU020wNYvgW84iljPkPP,535687406,279453
7kt9e9LFSpN1zQtYEl19o1,527943065,319296
1GwMQaZz6Au3QLDbjbMdme,527108740,369074
3pHkh7d0lzM2AldUtz2x37,514961888,232777
214nt20w5wOxJnY462klLw,511515821,230590
1wtOxkiel43cVs0Yux5Q4h,500166911,162597
1xwAWUI6Dj0WGC3KiUPN0O,491274968,154439
0W0iAC1VGlB82PI6elxFYf,486570945,459174
6VsvKPJ4xjVNKpI8VVZ3SV,481696372,327020
1SymEzIT3H8UZfibCs3TYi,479136023,211946
6AtZLIzUINvExIUy4QhdjP,477701759,158764
2F3N9tdombb64aW6VtZOdo,471930448,321317
3DrjZArsPsoqbLzUZZV1Id,467255213,219440
6oVxXO5oQ4pTpO8RSnkzvv,462980597,1075563
3sW3oSbzsfecv9XoUdGs7h,460483554,342867
17yraMKqmZIKAv3iaGcoLX,457945078,165990
3zwMVvkBe2qIKDObWgXw4N,453684948,329297
5YqltLsjdqFtvqE7Nrysvs,453142254,162143
2CYVETnhM9aytqrazYYwrK,448150250,155510
2P5gfMtCcKP0CkmgqFMyPg,443938176,126688
2Eeur20xVqfUoM3Q7EFPFt,437072250,171073
5kI4eCXXzyuIUXjQra0Cxi,434565858,143544
7FmYn9e7KHMXcxqGSj9LjH,434212781,179813
7qGr3rjRhndRIpFUA5f2HJ,433620133,184025
77sMIMlNaSURUAXq5coCxE,427704758,204869
12M5uqx0ZuwkpLp5rJim1a,419865154,177457
1LLXZFeAHK9R4xUramtUKw,410237540,150329
71BqAINEnezjQfxE4VuJfq,408149274,237022
6lCvK2AR2uOKkVFCVlAzzm,407187822,209936
5KD6AEm19QnMbfWpfoOHMl,404156209,194438
4OAuvHryIVv4kMDNSLuPt6,399801592,344442
43rA71bccXFGD4C8GOpIlN,393637438,134847
36t6frENUtCYKuZus6aYDO,392838180,280210
3yII7UwgLF6K5zW3xad3MP,386907109,184891
6KJqZcs9XDgVck7Lg9QOTC,384594612,159221
3Vevii7qKqrmW8CcyzBHDl,382872370,292692
1hjRhYpWyqDpPahmSlUTlc,376230369,220615
0A1JLUlkZkp2EFrosoNQi0,364293490,233618
2XXwLdtuAcE0HSCu61ijAb,361060021,267428
